City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Preobrazheniye,RU,42.9019,133.9064,5.31,78,0,10.67,clear sky
307,Alcains,PT,39.9164,-7.4566,53.01,94,99,5.99,overcast clouds
308,Saint Marys,US,30.7305,-81.5465,42.8,65,75,16.11,broken clouds
309,Ajdabiya,LY,30.7554,20.2263,55.56,72,92,6.04,overcast clouds
310,Xichang,CN,27.8964,102.2634,52.14,48,1,2.37,clear sky
311,Isangel,VU,-19.55,169.2667,80.6,89,90,11.5,heavy intensity rain
312,Moose Factory,CA,51.2585,-80.6094,-9.4,84,1,2.3,clear sky
313,Hukuntsi,BW,-24.0,21.75,65.41,88,30,6.58,scattered clouds
314,Nanortalik,GL,60.1432,-45.2371,24.28,91,29,8.32,scattered clouds
315,Jinka,ET,5.65,36.65,63.7,36,82,2.77,broken clouds
316,Brigantine,US,39.4101,-74.3646,35.01,93,90,13.8,moderate rain
317,Pandaria,IN,22.2333,81.4167,65.26,25,0,0.49,clear sky
318,Oranjestad,AW,12.524,-70.027,78.8,78,20,14.97,few clouds
319,Longyearbyen,SJ,78.2186,15.6401,15.8,79,90,12.66,light snow
320,Pakenham,AU,-38.0667,145.4833,66.0,49,96,7.0,overcast clouds
321,Luderitz,NA,-26.6481,15.1594,61.83,85,0,14.65,clear sky
322,Okato,NZ,-39.2,173.8833,66.99,65,1,7.0,clear sky
323,Auki,SB,-8.7676,160.7034,82.51,82,74,14.47,light rain
324,Diamantino,BR,-14.4086,-56.4461,76.12,81,100,3.44,overcast clouds
325,Mayya,RU,61.7333,130.2811,-41.8,66,0,2.24,clear sky
326,Lac Du Bonnet,CA,50.2536,-96.0612,13.14,97,37,6.2,scattered clouds
327,Upernavik,GL,72.7868,-56.1549,-2.58,92,100,8.01,light snow
328,Zhigansk,RU,66.7697,123.3711,-44.77,77,52,7.74,broken clouds
329,Tamisan,PH,6.8437,126.2984,84.16,62,84,5.21,broken clouds
330,Anadyr,RU,64.75,177.4833,15.8,92,90,49.21,snow
331,Bulgan,MN,48.8125,103.5347,1.8,81,71,1.52,broken clouds
332,Adrar,MR,20.5022,-10.0711,67.98,21,99,9.04,overcast clouds
333,Pangnirtung,CA,66.1451,-65.7125,-32.21,75,8,2.39,clear sky
334,Boksitogorsk,RU,59.474,33.8485,25.0,91,100,8.01,overcast clouds
335,Khorixas,NA,-20.3667,14.9667,62.71,61,72,0.38,broken clouds
336,Pavilosta,LV,56.8879,21.1859,28.4,80,90,6.91,overcast clouds
337,Tamandare,BR,-8.7597,-35.1047,77.47,81,88,7.09,overcast clouds
338,Codrington,AU,-38.2667,141.9667,61.18,61,99,12.55,overcast clouds
339,Klaksvik,FO,62.2266,-6.589,30.2,69,18,4.61,few clouds
340,Bobrovytsya,UA,50.75,31.3833,18.0,86,0,11.18,clear sky
341,Warmbad,NA,-28.45,18.7333,70.34,48,0,4.74,clear sky
342,Wilmington,US,34.2257,-77.9447,39.2,81,90,10.36,overcast clouds
343,Gizo,SB,-8.103,156.8419,79.9,86,100,21.85,moderate rain
344,Tacuarembo,UY,-31.7333,-55.9833,71.38,85,45,0.92,scattered clouds
345,Yomou,GN,7.5603,-9.2653,72.73,91,70,3.6,broken clouds
346,Aguimes,ES,27.9054,-15.4461,64.99,88,20,16.11,few clouds
